Sort,SampleSite_ID,SamplePoint_ID,ApproximateAddress,Park_Name,City,Year_Built,Parcel_Number,Latitude,Longitude,Adjusted_Lat,Adjusted_Long,Land_Use,Demolition_Type,Point_Notes,Soil_Series,SamplePoint_ID,Soil_Series,MapUnit,MapUnit_Key,SurveyArea,MapUnitName,MapUnit_Logic
1,CLS1,CLP1,1722 VICTORIA,1722 VICTORIA,Cleveland,1919,11702062,41.5493,-81.5658,41.5493,-81.5658,FILL,PRE,,Elnora,CLP1,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level","Widespread, and only, Elnora map unit near point."
4,CLS1,CLP2,1722 VICTORIA,1722 VICTORIA,Cleveland,1919,11702062,41.5493,-81.5658,41.5493,-81.5658,NATIVE,PRE,,Elnora,CLP2,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level","Widespread, and only, Elnora map unit near point."
10,CLS2,CLP3,1037 GALEWOOD,1037 GALEWOOD,Cleveland,1916,11512029,41.5506,-81.5813,41.5506,-81.5813,FILL,POST,,Hornell,CLP3,Hornell,HsC,287314,OH035,"Hornell-Urban land complex, rolling",Hornell map unit that contains the point.
16,CLS2,CLP4,1037 GALEWOOD,1037 GALEWOOD,Cleveland,1916,11512029,41.5506,-81.5813,41.5506,-81.5813,NATIVE,POST,,Hornell,CLP4,Hornell,HsC,287314,OH035,"Hornell-Urban land complex, rolling",Hornell map unit that contains the point.
21,CLS3,CLP5,1097 GALEWOOD,1097 GALEWOOD,Cleveland,1916,11514029,41.5492,-81.5798,41.5492,-81.5798,FILL,PRE,,Hornell,CLP5,Hornell,HsC,287314,OH035,"Hornell-Urban land complex, rolling",Hornell map unit that contains the point.
25,CLS3,CLP6,1097 GALEWOOD,1097 GALEWOOD,Cleveland,1916,11514029,41.5492,-81.5798,41.5492,-81.5798,NATIVE,PRE,,Hornell,CLP6,Hornell,HsC,287314,OH035,"Hornell-Urban land complex, rolling",Hornell map unit that contains the point.
32,CLS4,CLP7,11507 OHLMAN,11507 OHLMAN,Cleveland,1910,11021119,41.5323,-81.6049,41.5323,-81.6049,FILL,POST,,Elnora,CLP7,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level","Widespread, and only, Elnora map unit near point."
37,CLS4,CLP8,11507 OHLMAN,11507 OHLMAN,Cleveland,1910,11021119,41.5323,-81.6049,41.5323,-81.6049,NATIVE,POST,,Elnora,CLP8,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level","Widespread, and only, Elnora map unit near point."
46,CLS5,CLP9,1096 E 112,1096 E 112,Cleveland,1910,10922087,41.5279,-81.6078,41.5279,-81.6078,FILL,POST,,Hornell,CLP9,Hornell,HsC,287314,OH035,"Hornell-Urban land complex, rolling",Closest and most widespread Hornell map unit near point.
56,CLS5,CLP10,1096 E 112,1096 E 112,Cleveland,1910,10922087,41.5279,-81.6078,41.5279,-81.6078,NATIVE,POST,,Hornell,CLP10,Hornell,HsC,287314,OH035,"Hornell-Urban land complex, rolling",Closest and most widespread Hornell map unit near point.
63,CLS6,CLP11,1644 ANSEL,1644 ANSEL,Cleveland,1900,10722030,41.5117,-81.6196,41.5117,-81.6196,FILL,PRE,,Elnora,CLP11,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
68,CLS6,CLP12,1644 ANSEL,1644 ANSEL,Cleveland,1900,10722030,41.5117,-81.6196,41.5117,-81.6196,NATIVE,PRE,,Elnora,CLP12,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
73,CLS7,CLP13,1464 E 94,1464 E 94,Cleveland,1910,10713023,41.5166,-81.6209,41.5166,-81.6209,FILL,POST,,Elnora,CLP13,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
77,CLS7,CLP14,1464 E 94,1464 E 94,Cleveland,1910,10713023,41.5166,-81.6209,41.5166,-81.6209,NATIVE,POST,,Elnora,CLP14,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
82,CLS8,CLP15,1384 ANSEL,1384 ANSEL,Cleveland,1916,10712165,41.5193,-81.6198,41.5193,-81.6198,FILL,PRE,,Elnora,CLP15,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
86,CLS8,CLP16,1384 ANSEL,1384 ANSEL,Cleveland,1916,10712165,41.5193,-81.6198,41.5193,-81.6198,NATIVE,PRE,,Elnora,CLP16,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
90,CLS9,CLP17,1315 E 93,1315 E 93,Cleveland,1910,10712094,41.5205,-81.6221,41.5205,-81.6221,FILL,PRE,,Elnora,CLP17,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
95,CLS9,CLP18,1315 E 93,1315 E 93,Cleveland,1910,10712094,41.5205,-81.6221,41.5205,-81.6221,NATIVE,PRE,,Elnora,CLP18,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
102,CLS10,CLP19,1322 E 93,1322 E 93,Cleveland,1912,10712092,41.5204,-81.6224,41.5204,-81.6224,FILL,PRE,,Elnora,CLP19,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
108,CLS10,CLP20,1322 E 93,1322 E 93,Cleveland,1912,10712092,41.5204,-81.6224,41.5204,-81.6224,NATIVE,PRE,,Elnora,CLP20,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
114,CLS11,CLP21,1400 E 88,1400 E 88,Cleveland,1900,10715139,41.5177,-81.6265,41.5177,-81.6265,FILL,PRE,,Elnora,CLP21,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
118,CLS11,CLP22,1400 E 88,1400 E 88,Cleveland,1900,10715139,41.5177,-81.6265,41.5177,-81.6265,NATIVE,PRE,,Elnora,CLP22,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
125,CLS12,CLP23,1020 WHEELOCK,1020 WHEELOCK,Cleveland,1910,10704007,41.5275,-81.6289,41.5275,-81.6289,FILL,POST,,Tioga,CLP23,Tioga,Tg,287267,OH035,"Tioga loam, frequently flooded",Tioga map unit that contains the point.
130,CLS12,CLP24,1020 WHEELOCK,1020 WHEELOCK,Cleveland,1910,10704007,41.5275,-81.6289,41.5275,-81.6289,NATIVE,POST,,Tioga,CLP24,Tioga,Tg,287267,OH035,"Tioga loam, frequently flooded",Tioga map unit that contains the point.
134,CLS13,CLP25,938 WHEELOCK,938 WHEELOCK,Cleveland,1920,10703002,41.5296,-81.6302,41.5296,-81.6302,FILL,PRE,,Elnora,CLP25,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
137,CLS13,CLP26,938 WHEELOCK,938 WHEELOCK,Cleveland,1920,10703002,41.5296,-81.6302,41.5296,-81.6302,NATIVE,PRE,,Elnora,CLP26,Elnora,UeA,287272,OH035,"Urban land-Elnora complex, nearly level",Elnora map unit that contains the point.
