Sort,SampleSite_ID,SamplePoint_ID,SampleLayer_ID,ApproximateAddress,Sample_Layer,Soil_Series_Type,MapUnit,MapUnitName,MU_Key,SSURGO_AreaSymbol,Surface_Subsurface,UpperDepth_cm,LowerDepth_cm,Surface_Texture,Saturated_HC_DR_cmhr,Saturated_HC_DR_SE_cmhr,n_HC_DR_Measurments,Sum_HC_DR_Measurments,Saturated_HC_DR_IgnoresInfiniteValues_YN,Saturated_HC_DR_Infinite,Saturated_HC_TR_cmhr,Saturated_HC_TR_SE_cmhr,n_Tall_DR_Measurements ,Saturated_HC_SR_cmhr,Saturated_HC_SR_Infinite,Saturated_HC_SR_SE_cmhr,n_Short_DR_Measurements,Saturated_HC_SR_IgnoresInfiniteValues_YN,Unsaturated_K2cm_cmhr,Unsaturated_K2cm_SE_cmhr,Unsaturated_K2cm_STDEV_cmhr,Surface_Notes,Tenth_bar_H2O,Third_bar_H2O,Fifteen_bar_H2O,,,
1,CLS1,CLP1,CLS1CLP1L1,1722 VICTORIA,1.00,Urban Observed,,,,,Surface,0,33,sicl,5.7,,,,,,,,,,,,,,0.17,0.0,0.1,,,,,,,
4,CLS1,CLP2,CLS1CLP2L1,1722 VICTORIA,1.00,Urban Observed,,,,,Surface,0,23,cl,30.5,,,,,,,,,,,,,,1.22,0.4,0.8,,,,,,,0
10,CLS2,CLP3,CLS2CLP3L1,1037 GALEWOOD,1.00,Urban Observed,,,,,Surface,0,8,l,11.4,,,,,,,,,,,,,,1.58,0.0,,,,,,,,1800
16,CLS2,CLP4,CLS2CLP4L1,1037 GALEWOOD,1.00,Urban Observed,,,,,Surface,0,23,sl,65.3,,,,,,,,,,,,,,3.15,0.0,,,,,,,,
21,CLS3,CLP5,CLS3CLP5L1,1097 GALEWOOD,1.00,Urban Observed,,,,,Surface,0,43,l,82.5,,,,,,,,,,,,,,2.03,0.0,0.0,,,,,,,
25,CLS3,CLP6,CLS3CLP6L1,1097 GALEWOOD,1.00,Urban Observed,,,,,Surface,0,20,sl,21.9,,,,,,,,,,,,,,0.09,0.0,0.0,,,,,,,
32,CLS4,CLP7,CLS4CLP7L1,11507 OHLMAN,1.00,Urban Observed,,,,,Surface,0,12,ls,0.6,,,,,,,,,,,,,,2.16,0.3,0.6,,,,,,,
37,CLS4,CLP8,CLS4CLP8L1,11507 OHLMAN,1.00,Urban Observed,,,,,Surface,0,23,sl,38.0,,,,,,,,,,,,,,0.27,0.2,0.4,,,,,,,
46,CLS5,CLP9,CLS5CLP9L1,1096 E 112,1.00,Urban Observed,,,,,Surface,0,18,sl,59.2,,,,,,,,,,,,,,1.62,0.3,0.6,,,,,,,
56,CLS5,CLP10,CLS5CLP10L1,1096 E 112,1.00,Urban Observed,,,,,Surface,0,22,sl,7.8,,,,,,,,,,,,,,1.80,0.5,1.0,,,,,,,
63,CLS6,CLP11,CLS6CLP11L1,1644 ANSEL,1.00,Urban Observed,,,,,Surface,0,16,ls,24.4,,,,,,,,,,,,,,1.15,0.2,0.4,,,,,,,
68,CLS6,CLP12,CLS6CLP12L1,1644 ANSEL,1.00,Urban Observed,,,,,Surface,0,23,ls,76.4,,,,,,,,,,,,,,10.58,0.1,0.1,,,,,,,
73,CLS7,CLP13,CLS7CLP13L1,1464 E 94,1.00,Urban Observed,,,,,Surface,0,22,sl,5.7,,,,,,,,,,,,,,3.65,0.5,1.1,,,,,,,
77,CLS7,CLP14,CLS7CLP14L1,1464 E 94,1.00,Urban Observed,,,,,Surface,0,20,sl,76.0,,,,,,,,,,,,,,3.11,0.2,0.5,,,,,,,
82,CLS8,CLP15,CLS8CLP15L1,1384 ANSEL,1.00,Urban Observed,,,,,Surface,0,29,ls,83.2,,,,,,,,,,,,,,8.14,3.3,6.6,,,,,,,
86,CLS8,CLP16,CLS8CLP16L1,1384 ANSEL,1.00,Urban Observed,,,,,Surface,0,37,ls,71.0,,,,,,,,,,,,,,5.54,1.0,1.9,,,,,,,
90,CLS9,CLP17,CLS9CLP17L1,1315 E 93,1.00,Urban Observed,,,,,Surface,0,14,ls,44.4,,,,,,,,,,,,,,2.74,0.4,0.8,,,,,,,
95,CLS9,CLP18,CLS9CLP18L1,1315 E 93,1.00,Urban Observed,,,,,Surface,0,13,ls,90.0,,,,,,,,,,,,,,1.44,0.9,1.8,,,,,,,
102,CLS10,CLP19,CLS10CLP19L1,1322 E 93,1.00,Urban Observed,,,,,Surface,0,20,s,74.0,,,,,,,,,,,,,,1.88,1.2,2.4,,,,,,,
108,CLS10,CLP20,CLS10CLP20L1,1322 E 93,1.00,Urban Observed,,,,,Surface,0,26,fsl,138.5,,,,,,,,,,,,,,3.67,1.1,2.1,,,,,,,
114,CLS11,CLP21,CLS11CLP21L1,1400 E 88,1.00,Urban Observed,,,,,Surface,0,24,lfs,78.0,,,,,,,,,,,,,,1.51,0.1,0.1,,,,,,,
118,CLS11,CLP22,CLS11CLP22L1,1400 E 88,1.00,Urban Observed,,,,,Surface,0,12,ls,13.2,,,,,,,,,,,,,,1.94,0.5,0.9,,,,,,,
125,CLS12,CLP23,CLS12CLP23L1,1020 WHEELOCK,1.00,Urban Observed,,,,,Surface,0,28,sl,23.2,,,,,,,,,,,,,,2.48,0.6,1.2,,,,,,,
130,CLS12,CLP24,CLS12CLP24L1,1020 WHEELOCK,1.00,Urban Observed,,,,,Surface,0,48,sl,89.2,,,,,,,,,,,,,,0.86,0.2,0.3,,,,,,,
134,CLS13,CLP25,CLS13CLP25L1,938 WHEELOCK,1.00,Urban Observed,,,,,Surface,0,18,fsl,6.0,,,,,,,,,,,,,,0.95,0.4,0.8,,,,,,,
137,CLS13,CLP26,CLS13CLP26L1,938 WHEELOCK,1.00,Urban Observed,,,,,Surface,NA,NA,ND,56.8,,,,,,,,,,,,,,1.35,0.3,0.6,,,,,,,
140,CLS14,CLP27,CLS14CLP27L1,927 E 72,1.00,Urban Observed,,,,,Surface,0,25,sl,88.8,,,,,,,,,,,,,,5.47,0.3,0.6,,,,,,,
143,CLS14,CLP28,CLS14CLP28L1,927 E 72,1.00,Urban Observed,,,,,Surface,0,18,sl,108.0,,,,,,,,,,,,,,1.71,0.0,0.0,,,,,,,
151,CLS15,CLP29,CLS15CLP29L1,2700 GRAND,1.00,Urban Observed,,,,,Surface,0,17,sl,11.6,,,,,,,,,,,,,,1.08,0.1,0.1,,,,,,,
156,CLS15,CLP30,CLS15CLP30L1,2700 GRAND,1.00,Urban Observed,,,,,Surface,0,23,sl,83.6,,,,,,,,,,,,,,1.53,0.7,1.4,,,,,,,
160,CLS16,CLP31,CLS16CLP31L1,8009 RAWLINGS,1.00,Urban Observed,,,,,Surface,0,24,sil,25.2,,,,,,,,,,,,,,0.20,0.1,0.1,,,,,,,
166,CLS16,CLP32,CLS16CLP32L1,8009 RAWLINGS,1.00,Urban Observed,,,,,Surface,0,26,sl,29.2,,,,,,,,,,,,,,0.81,0.4,0.8,,,,,,,
173,CLS17,CLP33,CLS17CLP33L1,2802 E 79,1.00,Urban Observed,,,,,Surface,0,22,sil,1.2,,,,,,,,,,,,,,0.03,0.0,0.0,,,,,,,
178,CLS17,CLP34,CLS17CLP34L1,2802 E 79,1.00,Urban Observed,,,,,Surface,0,20,sl,108.4,,,,,,,,,,,,,,4.59,3.3,6.5,,,,,,,
185,CLS18,CLP35,CLS18CLP35L1,9080 HARRIS,1.00,Urban Observed,,,,,Surface,0,37,sl,38.0,,,,,,,,,,,,,,1.89,0.8,1.5,,,,,,,
189,CLS18,CLP36,CLS18CLP36L1,9080 HARRIS,1.00,Urban Observed,,,,,Surface,0,40,l,1.2,,,,,,,,,,,,,,0.20,0.1,0.1,,,,,,,
195,CLS19,CLP37,CLS19CLP37L1,8806 MARSHALL,1.00,Urban Observed,,,,,Surface,NA,NA,l,2.4,,,,,,,,,,,,,,,,,,,,,,,
197,CLS19,CLP38,CLS19CLP38L1,8806 MARSHALL,1.00,Urban Observed,,,,,Surface,0,46,l,225.0,,,,,,,,,,,,,,0.15,0.1,0.2,,,,,,,
206,CLS20,CLP39,CLS20CLP39L1,2943 E 55,1.00,Urban Observed,,,,,Surface,0,38,sil,25.2,,,,,,,,,,,,,,0.90,0.5,1.0,,,,,,,
210,CLS20,CLP40,CLS20CLP40L1,2943 E 55,1.00,Urban Observed,,,,,Surface,0,22,ls,20.4,,,,,,,,,,,,,,1.40,0.9,1.9,,,,,,,
216,CLS21,CLP41,CLS21CLP41L1,6305 CARPENTER,1.00,Urban Observed,,,,,Surface,0,16,sl,92.4,,,,,,,,,,,,,,1.71,0.4,0.8,,,,,,,
222,CLS21,CLP42,CLS21CLP42L1,6305 CARPENTER,1.00,Urban Observed,,,,,Surface,0,19,ls,63.6,,,,,,,,,,,,,,1.01,0.7,1.4,,,,,,,
225,CLS22,CLP43,CLS22CLP43L1,3040 E 65,1.00,Urban Observed,,,,,Surface,0,14,lfs,54.4,,,,,,,,,,,,,,3.38,0.3,0.5,,,,,,,
231,CLS22,CLP44,CLS22CLP44L1,3040 E 65,1.00,Urban Observed,,,,,Surface,0,26,sl,21.2,,,,,,,,,,,,,,5.54,1.4,2.9,,,,,,,
238,CLS23,CLP45,CLS23CLP45L1,4055 E 91,1.00,Urban Observed,,,,,Surface,NA,NA,l,2.8,,,,,,,,,,,,,,,,,,,,,,,
240,CLS23,CLP46,CLS23CLP46L1,4055 E 91,1.00,Urban Observed,,,,,Surface,0,14,l,35.6,,,,,,,,,,,,,,0.06,0.0,0.1,,,,,,,
245,CLS24,CLP47,CLS24CLP47L1,8613 CANNON,1.00,Urban Observed,,,,,Surface,0,33,l,,,,,,,,,,,,,,,0.14,0.0,0.0,,,,,,,
250,CLS24,CLP48,CLS24CLP48L1,8613 CANNON,1.00,Urban Observed,,,,,Surface,0,40,l,64.0,,,,,,,,,,,,,,1.58,0.1,0.2,,,,,,,
255,CLS25,CLP49,CLS25CLP49L1,9218 ARMITAGE,1.00,Urban Observed,,,,,Surface,0,18,l,28.0,,,,,,,,,,,,,,0.39,0.0,0.0,,,,,,,
260,CLS25,CLP50,CLS25CLP50L1,9218 ARMITAGE,1.00,Urban Observed,,,,,Surface,0,40,sil,6.4,,,,,,,,,,,,,,0.56,0.2,0.4,,,,,,,
266,CLS26,CLP51,CLS26CLP51L1,4128 E 82,1.00,Urban Observed,,,,,Surface,0,18,l,54.8,,,,,,,,,,,,,,0.04,0.0,0.1,,,,,,,
